Time,SOI
1951,1.5
1951.08,0.9
1951.17,-0.1
1951.25,-0.3
1951.33,-0.7
1951.42,0.2
1951.5,-1
1951.58,-0.2
1951.67,-1.1
1951.75,-1
1951.83,-0.8
1951.92,-0.7
1952,-0.9
1952.08,-0.6
1952.17,0.5
1952.25,-0.2
1952.33,0.8
1952.42,0.7
1952.5,0.5
1952.58,0.1
1952.67,-0.2
1952.75,0.4
1952.83,0
1952.92,-1.2
1953,0.3
1953.08,-0.5
1953.17,-0.2
1953.25,0.2
1953.33,-1.7
1953.42,0.1
1953.5,0
1953.58,-1.2
1953.67,-1.2
1953.75,0.1
1953.83,-0.3
1953.92,-0.5
1954,0.7
1954.08,-0.3
1954.17,0.3
1954.25,0.6
1954.33,0.5
1954.42,0.1
1954.5,0.4
1954.58,1.1
1954.67,0.2
1954.75,0.3
1954.83,0.1
1954.92,1.4
1955,-0.5
1955.08,1.9
1955.17,0.6
1955.25,-0.1
1955.33,1
1955.42,1.3
1955.5,1.6
1955.58,1.5
1955.67,1.3
1955.75,1.5
1955.83,1.2
1955.92,1
1956,1.3
1956.08,1.6
1956.17,1.3
1956.25,0.9
1956.33,1.4
1956.42,1.1
1956.5,1.1
1956.58,1.2
1956.67,0.1
1956.75,1.8
1956.83,0.2
1956.92,1.1
1957,0.6
1957.08,-0.1
1957.17,0.2
1957.25,0.2
1957.33,-0.7
1957.42,0.2
1957.5,0.2
1957.58,-0.5
1957.67,-0.9
1957.75,0
1957.83,-1
1957.92,-0.3
1958,-1.9
1958.08,-0.5
1958.17,0.3
1958.25,0.4
1958.33,-0.5
1958.42,0.3
1958.5,0.4
1958.58,0.9
1958.67,-0.3
1958.75,0.1
1958.83,-0.4
1958.92,-0.6
1959,-0.9
1959.08,-1.4
1959.17,1.3
1959.25,0.4
1959.33,0.5
1959.42,-0.1
1959.5,-0.3
1959.58,-0.1
1959.67,0
1959.75,0.5
1959.83,0.9
1959.92,0.9
1960,0.1
1960.08,0.1
1960.17,1
1960.25,0.8
1960.33,0.5
1960.42,0.1
1960.5,0.5
1960.58,0.8
1960.67,0.7
1960.75,0.1
1960.83,0.5
1960.92,0.8
1961,-0.3
1961.08,0.9
1961.17,-1.8
1961.25,0.8
1961.33,0.3
1961.42,0.1
1961.5,0.2
1961.58,0.2
1961.67,0.1
1961.75,-0.3
1961.83,0.5
1961.92,1.5
1962,2
1962.08,-0.3
1962.17,0.1
1962.25,0.2
1962.33,1.1
1962.42,0.7
1962.5,0.1
1962.58,0.6
1962.67,0.4
1962.75,1
1962.83,0.3
1962.92,0.2
1963,1
1963.08,0.6
1963.17,1.1
1963.25,0.8
1963.33,0.4
1963.42,-0.5
1963.5,-0.1
1963.58,0
1963.67,-0.6
1963.75,-1.2
1963.83,-0.8
1963.92,-1.2
1964,-0.4
1964.08,0
1964.17,1.1
1964.25,1.1
1964.33,0.2
1964.42,0.8
1964.5,0.6
1964.58,1.5
1964.67,1.3
1964.75,1.3
1964.83,0.2
1964.92,-0.3
1965,-0.4
1965.08,0.4
1965.17,0.8
1965.25,-0.5
1965.33,0.2
1965.42,-0.6
1965.5,-1.8
1965.58,-0.7
1965.67,-1.3
1965.75,-0.9
1965.83,-1.5
1965.92,0.2
1966,-1.3
1966.08,-0.2
1966.17,-0.9
1966.25,-0.2
1966.33,-0.4
1966.42,0.3
1966.5,0.1
1966.58,0.6
1966.67,-0.2
1966.75,-0.1
1966.83,0
1966.92,-0.3
1967,1.7
1967.08,1.7
1967.17,1.2
1967.25,0
1967.33,0
1967.42,0.6
1967.5,0.2
1967.58,0.7
1967.67,0.5
1967.75,0.1
1967.83,-0.4
1967.92,-0.6
1968,0.5
1968.08,1.3
1968.17,0.1
1968.25,0
1968.33,1.2
1968.42,1.1
1968.5,0.7
1968.58,0.3
1968.67,-0.3
1968.75,-0.1
1968.83,-0.3
1968.92,0.2
1969,-1.5
1969.08,-0.5
1969.17,0.4
1969.25,-0.4
1969.33,-0.2
1969.42,0.2
1969.5,-0.5
1969.58,-0.1
1969.67,-1
1969.75,-0.9
1969.83,-0.1
1969.92,0.4
1970,-1.1
1970.08,-1
1970.17,0.6
1970.25,-0.1
1970.33,0.4
1970.42,1
1970.5,-0.4
1970.58,0.6
1970.67,1.2
1970.75,1
1970.83,1.6
1970.92,1.9
1971,0.4
1971.08,2
1971.17,2.3
1971.25,1.7
1971.33,0.9
1971.42,0.4
1971.5,0.2
1971.58,1.5
1971.67,1.4
1971.75,1.7
1971.83,0.5
1971.92,0.3
1972,0.5
1972.08,1.1
1972.17,0.6
1972.25,-0.1
1972.33,-1.6
1972.42,-0.5
1972.5,-1.4
1972.58,-0.5
1972.67,-1.4
1972.75,-0.9
1972.83,-0.3
1972.92,-1.3
1973,-0.3
1973.08,-1.4
1973.17,0.7
1973.25,0.1
1973.33,0.4
1973.42,1.1
1973.5,0.6
1973.58,1.3
1973.67,1.2
1973.75,0.8
1973.83,2.6
1973.92,1.8
1974,2.4
1974.08,2.1
1974.17,2.4
